feature_name,domain,ic,rank_ic,icir,abs_ic,n_obs,n_dates,n_tickers,passed
earnings_surprise_avg_4q,earnings,0.007378,0.007378,2.088255,0.007378,0,0,503,False
earnings_surprise_latest,earnings,0.007927,0.007927,2.489435,0.007927,0,0,503,False
earnings_surprise_recency,earnings,0.004625,0.004625,1.511535,0.004625,0,0,503,False
earnings_surprise_recency_20d,earnings,0.003791,0.003791,1.245462,0.003791,0,0,503,False
eps_revision_direction,analyst,,,,,0,0,503,False
eps_surprise,fundamental,,,,,0,0,503,False
ev_ebitda,fundamental,,,,,0,0,503,False
fcf_mom_20d,composite,-0.012226,-0.012226,-2.479726,0.012226,0,0,503,False
fcf_yield,fundamental,,,,,0,0,503,False
ffr,macro,,,,,0,0,503,False
filing_burst_20d,sec_filing,,,,,0,0,503,False
financial_health_trend,analyst_proxy,,,,,0,0,503,False
gap_pct,intraday,0.013353,0.013353,3.848106,0.013353,0,0,503,False
gk_vol,technical,0.023444,0.023444,2.483048,0.023444,0,0,503,True
gross_margin,fundamental,,,,,0,0,503,False
has_recent_8k_5d,sec_filing,,,,,0,0,503,False
high_52w_ratio,technical,-0.014783,-0.014783,-1.665629,0.014783,0,0,503,False
high_vix_x_beta,composite,0.017295,0.017295,0.920907,0.017295,0,0,503,False
idio_vol,technical,0.018873,0.018873,2.144372,0.018873,0,0,503,True
insider_abnormal_buy_90d,insider,,,,,0,0,503,False
insider_buy_intensity_20d,insider,,,,,0,0,503,False
insider_buy_value,insider,,,,,0,0,503,False
insider_cluster_buy,insider,,,,,0,0,503,False
insider_cluster_buy_30d_w,insider,,,,,0,0,503,False
insider_net_buy_ratio,insider,,,,,0,0,503,False
insider_net_intensity_60d,insider,,,,,0,0,503,False
insider_role_skew_30d,insider,,,,,0,0,503,False
intraday_ret,intraday,-0.010754,-0.010754,-1.481992,0.010754,0,0,503,False
large_trade_ratio,trade_microstructure,,,,,0,0,503,False
last_30m_ret,intraday,-0.00727,-0.00727,-1.202075,0.00727,0,0,503,False
late_day_aggressiveness,trade_microstructure,,,,,0,0,503,False
leverage_vol_20d,composite,0.005252,0.005252,1.298249,0.005252,0,0,503,False
liquidity_momentum,composite,-0.019158,-0.019158,-2.636745,0.019158,0,0,503,True
low_52w_ratio,technical,0.005488,0.005488,0.717493,0.005488,0,0,503,False
macd_histogram,technical,-0.016462,-0.016462,-2.592044,0.016462,0,0,503,True
macd_signal,technical,-0.015201,-0.015201,-2.295317,0.015201,0,0,503,True
macro_risk_on,composite,,,,,0,0,503,False
margin_quality_combo,composite,0.000524,0.000524,0.115096,0.000524,0,0,503,False
market_ret_20d,macro,,,,,0,0,503,False
mean_reversion_combo,composite,-0.013649,-0.013649,-2.214213,0.013649,0,0,503,False
mom_vol_adj_20d,composite,-0.016913,-0.016913,-2.479833,0.016913,0,0,503,True
mom_vol_adj_60d,composite,-0.010937,-0.010937,-1.439031,0.010937,0,0,503,False
momentum_rank_20d,technical,-0.018702,-0.018702,-2.538264,0.018702,0,0,503,True
momentum_rank_60d,technical,-0.009911,-0.009911,-1.251397,0.009911,0,0,503,False
narrow_leadership_score,composite,0.009584,0.009584,1.21482,0.009584,0,0,503,False
net_grade_change_20d,analyst_proxy,,,,,0,0,503,False
net_grade_change_5d,analyst_proxy,,,,,0,0,503,False
net_grade_change_60d,analyst_proxy,,,,,0,0,503,False
obv_slope,technical,-0.01039,-0.01039,-2.106388,0.01039,0,0,503,False
off_exchange_volume_ratio,trade_microstructure,,,,,0,0,503,False
offhours_trade_ratio,trade_microstructure,,,,,0,0,503,False
open_30m_ret,intraday,0.00395,0.00395,0.577489,0.00395,0,0,503,False
operating_margin,fundamental,,,,,0,0,503,False
overnight_gap,daily,-0.008691,-0.008691,-1.184614,0.008691,0,0,503,False
overnight_ret,intraday,0.013353,0.013353,3.848106,0.013353,0,0,503,False
pb_ratio,fundamental,,,,,0,0,503,False
pe_ratio,fundamental,,,,,0,0,503,False
pead_setup,earnings,-0.003534,-0.003534,-0.910454,0.003534,0,0,503,False
profitability_combo,composite,0.002804,0.002804,0.609761,0.002804,0,0,503,False
ps_ratio,fundamental,,,,,0,0,503,False
quality_value_roa_pe,composite,0.000829,0.000829,0.126967,0.000829,0,0,503,False
quality_value_roe_pb,composite,-0.006536,-0.006536,-1.022682,0.006536,0,0,503,False
realized_vol_1d,intraday,0.017616,0.017616,1.743868,0.017616,0,0,503,False
recent_8k_count_20d,sec_filing,,,,,0,0,503,False
recent_8k_count_5d,sec_filing,,,,,0,0,503,False
recent_8k_count_60d,sec_filing,,,,,0,0,503,False
residual_momentum,technical,-0.012525,-0.012525,-1.646254,0.012525,0,0,503,False
residual_ret_10d,technical,-0.009666,-0.009666,-1.273812,0.009666,0,0,503,False
residual_ret_5d,technical,-0.010926,-0.010926,-1.413461,0.010926,0,0,503,False
ret_10d,technical,-0.01486,-0.01486,-1.984464,0.01486,0,0,503,False
ret_20d,technical,-0.018702,-0.018702,-2.538264,0.018702,0,0,503,True
ret_5d,technical,-0.01195,-0.01195,-1.591583,0.01195,0,0,503,False
ret_60d,technical,-0.009911,-0.009911,-1.251397,0.009911,0,0,503,False
ret_vol_interaction_20d,composite,-0.019158,-0.019158,-2.636745,0.019158,0,0,503,True
ret_vol_interaction_60d,composite,-0.010793,-0.010793,-1.373085,0.010793,0,0,503,False
return_dispersion_20d,composite,-0.020437,-0.020437,-2.624583,0.020437,0,0,503,True
revenue_growth_yoy,fundamental,,,,,0,0,503,False
revenue_revision_pct,analyst,,,,,0,0,503,False
risk_sentiment,composite,,,,,0,0,503,False
roa,fundamental,,,,,0,0,503,False
roe,fundamental,,,,,0,0,503,False
rsi_14,technical,-0.017722,-0.017722,-2.467937,0.017722,0,0,503,True
rsi_28,technical,-0.01676,-0.01676,-2.217671,0.01676,0,0,503,True
sector_pressure,sector_rotation,,,,,0,0,503,False
sector_pressure_x_divergence,sector_rotation,,,,,0,0,503,False
sector_rel_ret_5d,sector_rotation,,,,,0,0,503,False
sector_volume_surge,sector_rotation,,,,,0,0,503,False
short_interest_abnormal_1y,short_interest,,,,,0,0,503,False
short_interest_change,short_interest,,,,,0,0,503,False
short_interest_change_20d,short_interest,,,,,0,0,503,False
short_interest_ratio,short_interest,,,,,0,0,503,False
short_interest_sector_rel,short_interest,,,,,0,0,503,False
short_sale_accel,shorting,,,,,0,0,503,False
short_sale_ratio_1d,shorting,,,,,0,0,503,False
short_sale_ratio_5d,shorting,,,,,0,0,503,False
short_squeeze_setup,short_interest,,,,,0,0,503,False
sp500_breadth,macro,,,,,0,0,503,False
spread_stress,composite,,,,,0,0,503,False
stoch_d,technical,-0.013597,-0.013597,-2.006793,0.013597,0,0,503,False
stoch_k,technical,-0.012993,-0.012993,-2.033646,0.012993,0,0,503,False
stock_beta_252,technical,0.017217,0.017217,1.360256,0.017217,0,0,503,False
stock_vs_sector_20d,sector_rotation,,,,,0,0,503,False
surprise_flip_qoq,earnings,0.002166,0.002166,0.863338,0.002166,0,0,503,False
surprise_vs_history,earnings,-0.000748,-0.000748,-0.268429,0.000748,0,0,503,False
target_dispersion_proxy,analyst_proxy,,,,,0,0,503,False
target_price_drift,analyst_proxy,,,,,0,0,503,False
trade_imbalance_proxy,trade_microstructure,,,,,0,0,503,False
transactions_count_zscore,intraday,0.001228,0.001228,0.290579,0.001228,0,0,503,False
trend_confirmation,composite,-0.017804,-0.017804,-2.741308,0.017804,0,0,503,True
turnover_rate,technical,0.007132,0.007132,1.227112,0.007132,0,0,503,False
upgrade_count,analyst_proxy,,,,,0,0,503,False
valuation_spread_pb_pe,composite,0.000857,0.000857,0.163299,0.000857,0,0,503,False
value_mom_pb,composite,-0.007439,-0.007439,-1.184718,0.007439,0,0,503,False
value_mom_pe,composite,0.000337,0.000337,0.051669,0.000337,0,0,503,False
vix,macro,,,,,0,0,503,False
vix_change_5d,macro,,,,,0,0,503,False
vix_rank,macro,,,,,0,0,503,False
vol_20d,technical,0.022751,0.022751,2.48102,0.022751,0,0,503,True
vol_60d,technical,0.024077,0.024077,2.437349,0.024077,0,0,503,True
vol_change,technical,0.001767,0.001767,0.414409,0.001767,0,0,503,False
vol_rank,technical,0.022751,0.022751,2.48102,0.022751,0,0,503,True
vol_scaled_reversal_5d,technical,0.01069,0.01069,1.560112,0.01069,0,0,503,False
volume_curve_surprise,intraday,-0.000427,-0.000427,-0.107829,0.000427,0,0,503,False
volume_ratio_20d,technical,-0.001213,-0.001213,-0.36797,0.001213,0,0,503,False
volume_ratio_5d,technical,-0.002891,-0.002891,-0.886045,0.002891,0,0,503,False
volume_surge,daily,-0.001042,-0.001042,-0.298484,0.001042,0,0,503,False
vwap_deviation,technical,-0.010657,-0.010657,-1.788788,0.010657,0,0,503,False
yield_10y,macro,,,,,0,0,503,False
yield_spread_10y2y,macro,,,,,0,0,503,False
